Edited Second Note	TEREZA JE NAJBOLJA
Third note	TEREZA JE SVE NAPRAVILA
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
Fourth note text	ANDRIJA JE TU BIO SAMO DA PRICA S NJOM
